source_row,stock_code,stock_name,market,listing_status,identity_key,classification,canonical_name,canonical_instrument_type
2,1101,台泥,TPE,active,TPE:1101,STATIC_NEW,,
3,1301,台塑,TPE,active,TPE:1301,STATIC_NEW,,
4,1402,遠東新,TPE,active,TPE:1402,STATIC_NEW,,
5,1477,聚陽,TPE,active,TPE:1477,STATIC_NEW,,
6,1515,力山,TPE,active,TPE:1515,STATIC_NEW,,
7,1569,濱川,TWO,active,TWO:1569,STATIC_NEW,,
8,1586,和勤,TWO,active,TWO:1586,STATIC_NEW,,
9,1709,和益,TPE,active,TPE:1709,STATIC_NEW,,
10,1717,長興,TPE,active,TPE:1717,STATIC_NEW,,
11,1718,中纖,TPE,active,TPE:1718,STATIC_NEW,,
12,1736,喬山,TPE,active,TPE:1736,STATIC_NEW,,
13,1809,中釉,TPE,active,TPE:1809,STATIC_NEW,,
14,1909,榮成,TPE,active,TPE:1909,STATIC_NEW,,
15,2070,精湛,TWO,active,TWO:2070,STATIC_NEW,,
16,2101,南港,TPE,active,TPE:2101,STATIC_NEW,,
17,2208,台船,TPE,active,TPE:2208,STATIC_NEW,,
18,2231,為升,TPE,active,TPE:2231,STATIC_NEW,,
19,2328,廣宇,TPE,active,TPE:2328,STATIC_NEW,,
20,2329,華泰,TPE,active,TPE:2329,STATIC_NEW,,
21,2331,精英,TPE,active,TPE:2331,STATIC_NEW,,
22,2349,錸德,TPE,active,TPE:2349,STATIC_NEW,,
23,2354,鴻準,TPE,active,TPE:2354,STATIC_NEW,,
24,2371,大同,TPE,active,TPE:2371,STATIC_NEW,,
25,2436,偉詮電,TPE,active,TPE:2436,STATIC_NEW,,
26,2601,益航,TPE,active,TPE:2601,STATIC_NEW,,
27,2603,長榮,TPE,active,TPE:2603,STATIC_NEW,,
28,2605,新興,TPE,active,TPE:2605,STATIC_NEW,,
29,2606,裕民,TPE,active,TPE:2606,STATIC_NEW,,
30,2609,陽明,TPE,active,TPE:2609,STATIC_NEW,,
31,2610,華航,TPE,active,TPE:2610,STATIC_NEW,,
32,2611,志信,TPE,active,TPE:2611,STATIC_NEW,,
33,2613,中櫃,TPE,active,TPE:2613,STATIC_NEW,,
34,2615,萬海,TPE,active,TPE:2615,STATIC_NEW,,
35,2617,台航,TPE,active,TPE:2617,STATIC_NEW,,
36,2636,台驊控股,TPE,active,TPE:2636,STATIC_NEW,,
37,2641,正德,TWO,active,TWO:2641,STATIC_NEW,,
38,2646,星宇航空,TPE,active,TPE:2646,STATIC_NEW,,
39,2851,中再保,TPE,active,TPE:2851,STATIC_NEW,,
40,3036,文曄,TPE,active,TPE:3036,STATIC_NEW,,
41,3088,艾訊,TWO,active,TWO:3088,STATIC_NEW,,
42,3227,原相,TWO,active,TWO:3227,STATIC_NEW,,
43,3230,錦明,TWO,active,TWO:3230,STATIC_NEW,,
44,3312,弘憶股,TPE,active,TPE:3312,STATIC_NEW,,
45,3388,崇越電,TWO,active,TWO:3388,STATIC_NEW,,
46,3406,玉晶光,TPE,active,TPE:3406,STATIC_NEW,,
47,3455,由田,TWO,active,TWO:3455,STATIC_NEW,,
48,3490,單井,TWO,active,TWO:3490,STATIC_NEW,,
49,3508,位速,TWO,active,TWO:3508,STATIC_NEW,,
50,3533,嘉澤,TPE,active,TPE:3533,STATIC_NEW,,
51,3587,閎康,TWO,active,TWO:3587,STATIC_NEW,,
52,3689,湧德,TWO,active,TWO:3689,STATIC_NEW,,
53,3702,大聯大,TPE,active,TPE:3702,STATIC_NEW,,
54,3704,合勤控,TPE,active,TPE:3704,STATIC_NEW,,
55,4114,健喬,TWO,active,TWO:4114,STATIC_NEW,,
56,4123,晟德,TWO,active,TWO:4123,STATIC_NEW,,
57,4416,三圓,TWO,active,TWO:4416,STATIC_NEW,,
58,4533,協易機,TWO,active,TWO:4533,STATIC_NEW,,
59,4561,健椿,TWO,active,TWO:4561,STATIC_NEW,,
60,4566,時碩工業,TPE,active,TPE:4566,STATIC_NEW,,
61,4739,康普,TPE,active,TPE:4739,STATIC_NEW,,
62,4906,正文,TPE,active,TPE:4906,STATIC_NEW,,
63,4946,辣椒,TWO,active,TWO:4946,STATIC_NEW,,
64,4960,誠美材,TPE,active,TPE:4960,STATIC_NEW,,
65,4968,立積,TPE,active,TPE:4968,STATIC_NEW,,
66,5291,邑昇,TWO,active,TWO:5291,STATIC_NEW,,
67,5309,系統電,TWO,active,TWO:5309,STATIC_NEW,,
68,5321,美而快,TWO,active,TWO:5321,STATIC_NEW,,
69,5468,凱鈺,TWO,active,TWO:5468,STATIC_NEW,,
70,5474,聰泰,TWO,active,TWO:5474,STATIC_NEW,,
71,5515,建國,TPE,active,TPE:5515,STATIC_NEW,,
72,5607,遠雄港,TPE,active,TPE:5607,STATIC_NEW,,
73,5608,四維航,TPE,active,TPE:5608,STATIC_NEW,,
74,6016,康和證,TWO,active,TWO:6016,STATIC_NEW,,
75,6108,競國,TPE,active,TPE:6108,STATIC_NEW,,
76,6125,廣運,TWO,active,TWO:6125,STATIC_NEW,,
77,6190,萬泰科,TWO,active,TWO:6190,STATIC_NEW,,
78,6199,天品,TWO,active,TWO:6199,STATIC_NEW,,
79,6217,中探針,TWO,active,TWO:6217,STATIC_NEW,,
80,6218,豪勉,TWO,active,TWO:6218,STATIC_NEW,,
81,6278,台表科,TPE,active,TPE:6278,STATIC_NEW,,
82,6284,佳邦,TWO,active,TWO:6284,STATIC_NEW,,
83,6290,良維,TWO,active,TWO:6290,STATIC_NEW,,
84,6532,瑞耘,TWO,active,TWO:6532,STATIC_NEW,,
85,6584,南俊國際,TWO,active,TWO:6584,STATIC_NEW,,
86,7792,安葆,TWO,active,TWO:7792,STATIC_NEW,,
87,8086,宏捷科,TWO,active,TWO:8086,STATIC_NEW,,
88,8103,瀚荃,TPE,active,TPE:8103,STATIC_NEW,,
89,8109,博大,TWO,active,TWO:8109,STATIC_NEW,,
90,8110,華東,TPE,active,TPE:8110,STATIC_NEW,,
91,8121,越峰,TWO,active,TWO:8121,STATIC_NEW,,
92,8131,福懋科,TPE,active,TPE:8131,STATIC_NEW,,
93,8234,新漢,TWO,active,TWO:8234,STATIC_NEW,,
94,8932,智通*,TWO,active,TWO:8932,STATIC_NEW,,
95,9904,寶成,TPE,active,TPE:9904,STATIC_NEW,,
96,9921,巨大,TPE,active,TPE:9921,STATIC_NEW,,
97,9945,潤泰新,TPE,active,TPE:9945,STATIC_NEW,,
