instrument_identity,stock_code,market,identity_source,identity_authority_state,listing_status,technical_result_status,technical_eligibility,qualification_run_state,required_warmup_availability,ma60_calculable,continuity_state,event_lookup_state,pit_state,availability_reason
TPE:1303,1303,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1304,1304,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1314,1314,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1319,1319,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1326,1326,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1342,1342,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1438,1438,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1451,1451,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1474,1474,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1476,1476,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1503,1503,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1504,1504,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1513,1513,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1514,1514,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1519,1519,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1536,1536,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1537,1537,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1563,1563,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1568,1568,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TWO:1584,1584,TWO,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1590,1590,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1597,1597,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
TPE:1605,1605,TPE,tw-reference-v1,CANONICAL_507_ONLY,REFERENCE_ONLY,UNAVAILABLE,UNAVAILABLE,NOT_RUN_SOURCE_CONTRACT_BLOCKED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,SOURCE_CONTRACT_NOT_CANONICAL_FOR_603_UNIVERSE
